generation,best_overall,mean_overall,front_size,entropy,change,autocorr,diversity,mean_coupling,coupling_cv
18,0.7320261437908497,0.6971405228758168,16,0.7294117647058824,0.6784313725490196,0.6392156862745099,0.34509803921568627,1.0,1.0
19,0.742483660130719,0.7089460784313725,16,0.7607843137254902,0.611764705882353,0.6862745098039216,0.39607843137254906,1.0,1.0
20,0.7490196078431373,0.7134803921568627,16,0.7803921568627451,0.6627450980392158,0.7019607843137255,0.34901960784313724,1.0,1.0
21,0.7490196078431373,0.7167483660130718,16,0.7803921568627451,0.6627450980392158,0.7019607843137255,0.34901960784313724,1.0,1.0
22,0.7490196078431373,0.7167483660130718,16,0.7803921568627451,0.6627450980392158,0.7019607843137255,0.34901960784313724,1.0,1.0
23,0.7529411764705882,0.7169117647058822,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
24,0.7529411764705882,0.725285947712418,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
25,0.7529411764705882,0.7283905228758167,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
26,0.7529411764705882,0.7299836601307188,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
27,0.7529411764705882,0.731658496732026,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
28,0.7529411764705882,0.7344362745098038,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
29,0.7529411764705882,0.7352124183006534,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
30,0.7529411764705882,0.7352124183006534,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
31,0.7529411764705882,0.7371323529411763,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
32,0.7529411764705882,0.7379084967320259,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
33,0.7529411764705882,0.7379084967320259,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
34,0.7529411764705882,0.7388480392156863,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
35,0.7529411764705882,0.7388480392156863,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
36,0.7529411764705882,0.7388480392156863,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
37,0.7529411764705882,0.7388480392156863,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
38,0.7529411764705882,0.7388480392156863,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
39,0.7529411764705882,0.7402777777777778,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
40,0.7529411764705882,0.7404411764705883,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
41,0.7529411764705882,0.7404411764705883,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
42,0.7529411764705882,0.7404411764705883,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
43,0.7529411764705882,0.7407271241830066,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
44,0.7529411764705882,0.7407271241830066,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
45,0.7529411764705882,0.7407271241830066,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
46,0.7529411764705882,0.7407271241830066,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
47,0.7529411764705882,0.7407271241830066,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
48,0.7529411764705882,0.7407271241830066,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
49,0.7529411764705882,0.7407271241830066,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
