sigma,death-seeds,terminal-rules-seeds,cluster,pc1,pc2,death-mean,death-range,terminal-rules-mean,phenotype-activity-per-cell,entropy-early,entropy-middle,entropy-late,entropy-terminal,top1-terminal,top4-terminal,active-rules-terminal,terminal-rule-flux,class4-early,class4-middle,class4-late,class4-terminal,class4-peak,entropy-delta
23751064,120|120|120,22|25|19,1,-0.639526286,0.628498687,120.000000,0.00000000,22.0000000,0.291898148,0.600591734,0.484829291,0.474617915,0.476085418,0.250000000,0.516666667,22.0000000,0.283333333,0.107083333,0.121111111,0.0544715447,0.0555555556,0.327777778,-0.125973818
23756410,120|120|120,30|17|34,1,-1.26966301,-1.60321064,120.000000,0.00000000,27.0000000,0.233796296,0.616174783,0.566776702,0.518505850,0.519409528,0.188888889,0.483333333,27.0000000,0.266666667,0.0390277778,0.0165277778,0.00785907859,0.00000000,0.0944444444,-0.0976689331
24063175,120|120|120,2|2|2,0,5.70726149,-1.15702720,120.000000,0.00000000,2.00000000,0.237083333,0.386666231,0.127833105,0.119384179,0.119384179,0.600000000,1.00000000,2.00000000,0.00000000,0.0212500000,0.00180555556,0.00000000,0.00000000,0.100000000,-0.267282051
24071653,120|120|120,2|2|2,0,6.85142478,-1.23151636,120.000000,0.00000000,2.00000000,0.0413888889,0.278165191,0.0702208904,0.0700961658,0.0700961658,0.850000000,1.00000000,2.00000000,0.00000000,0.0498611111,0.000138888889,0.00000000,0.00000000,0.116666667,-0.208069025
24153067,117|120|120,5|8|6,0,3.77986287,-1.45377179,119.000000,3.00000000,6.33333333,0.0843518519,0.520148537,0.285056029,0.269686705,0.240475452,0.438888889,0.955555556,6.33333333,0.116666667,0.0313888889,0.00375000000,0.00162601626,0.00000000,0.111111111,-0.250461832
24350176,120|120|120,1|1|1,0,7.48161594,-0.941814863,120.000000,0.00000000,1.00000000,0.0739351852,0.377980980,0.00829692072,-0.00000000,-0.00000000,1.00000000,1.00000000,1.00000000,0.00000000,0.0477777778,0.00375000000,0.00000000,0.00000000,0.150000000,-0.377980980
24356710,120|120|120,36|39|22,1,-2.58732014,1.02256530,120.000000,0.00000000,32.3333333,0.400648148,0.555697374,0.582794574,0.598333813,0.572100142,0.144444444,0.366666667,32.3333333,0.283333333,0.103888889,0.124305556,0.100406504,0.144444444,0.322222222,0.0426364390
24751630,120|120|120,25|27|30,1,-1.38295629,1.12173450,120.000000,0.00000000,27.3333333,0.265509259,0.519395777,0.504089268,0.511520735,0.534348903,0.194444444,0.433333333,27.3333333,0.311111111,0.133611111,0.107361111,0.130894309,0.127777778,0.327777778,-0.00787504137
24761350,120|120|120,22|24|21,1,-0.514586545,-1.95154847,120.000000,0.00000000,22.3333333,0.186018519,0.550818338,0.489299406,0.485415180,0.503780197,0.188888889,0.438888889,22.3333333,0.250000000,0.00819444444,0.0116666667,0.0143631436,0.00555555556,0.0722222222,-0.0654031581
25047163,120|120|120,19|26|16,1,-0.238371121,3.06309417,120.000000,0.00000000,20.3333333,0.336388889,0.543594332,0.413201464,0.430663788,0.475469341,0.211111111,0.511111111,20.3333333,0.233333333,0.112083333,0.283472222,0.266937669,0.200000000,0.427777778,-0.112930544
25073614,120|120|120,30|32|37,1,-2.51716230,-0.271775904,120.000000,0.00000000,33.0000000,0.231990741,0.608271646,0.593625077,0.568877536,0.592917442,0.116666667,0.305555556,33.0000000,0.311111111,0.0704166667,0.0695833333,0.0990514905,0.0611111111,0.250000000,-0.0393941092
25170436,120|120|120,29|28|21,1,-1.51815593,-1.99167648,120.000000,0.00000000,26.0000000,0.153148148,0.605862540,0.553991767,0.547021057,0.544301916,0.116666667,0.377777778,26.0000000,0.294444444,0.0188888889,0.0145833333,0.00609756098,0.00555555556,0.0833333333,-0.0588414824
25341607,120|120|120,18|14|28,1,0.616051431,0.147554846,120.000000,0.00000000,20.0000000,0.197175926,0.482731646,0.347743956,0.429950098,0.446647115,0.305555556,0.572222222,20.0000000,0.227777778,0.0240277778,0.0766666667,0.141056911,0.194444444,0.227777778,-0.0527815481
25346071,120|120|120,28|29|21,1,-1.19818117,-0.279941937,120.000000,0.00000000,26.0000000,0.229166667,0.590038031,0.536448510,0.515583537,0.519862373,0.194444444,0.466666667,26.0000000,0.272222222,0.0744444444,0.0544444444,0.0773712737,0.0722222222,0.222222222,-0.0744544939
25370164,120|120|120,27|30|28,1,-2.04715786,-1.54559477,120.000000,0.00000000,28.3333333,0.188518519,0.595418060,0.557526165,0.586643271,0.560187359,0.127777778,0.350000000,28.3333333,0.338888889,0.0320833333,0.0255555556,0.0310298103,0.0333333333,0.122222222,-0.00877478884
25471036,120|120|120,34|28|31,1,-2.05982848,-1.73135463,120.000000,0.00000000,31.0000000,0.137037037,0.587221412,0.550132579,0.560856093,0.571772848,0.116666667,0.366666667,31.0000000,0.366666667,0.0451388889,0.0125000000,0.0143631436,0.0111111111,0.127777778,-0.0263653188
25476103,120|120|120,31|23|30,1,-1.61081711,-0.973641690,120.000000,0.00000000,28.0000000,0.182592593,0.600290993,0.541132059,0.533190789,0.547666068,0.133333333,0.400000000,28.0000000,0.305555556,0.0575000000,0.0302777778,0.0555555556,0.0666666667,0.150000000,-0.0671002040
25643017,120|120|120,19|14|12,1,1.30359847,-1.91747922,120.000000,0.00000000,15.0000000,0.106388889,0.502335900,0.295510902,0.431388992,0.421718183,0.211111111,0.622222222,15.0000000,0.172222222,0.0154166667,0.00152777778,0.0131436314,0.00000000,0.0777777778,-0.0709469089
25740136,120|120|120,1|2|1,0,7.24833322,-1.41685368,120.000000,0.00000000,1.33333333,0.0720370370,0.393215293,0.0374629155,0.0195414831,0.0195414831,0.966666667,1.00000000,1.33333333,0.00000000,0.0194444444,0.00000000,0.00000000,0.00000000,0.0777777778,-0.373673810
26045173,120|120|120,32|28|24,1,-2.03372474,-0.848246572,120.000000,0.00000000,28.0000000,0.294027778,0.576459452,0.584284883,0.573823781,0.559360023,0.127777778,0.355555556,28.0000000,0.283333333,0.0500000000,0.0425000000,0.0367208672,0.0777777778,0.155555556,-0.00263567143
26147035,120|67|120,1|1|1,0,8.18583385,-0.906697118,102.333333,53.0000000,1.00000000,0.109351852,0.442795118,0.0761490538,0.000248560157,-0.00000000,1.00000000,1.00000000,1.00000000,0.00000000,0.0590277778,0.0227777778,0.00000000,0.00000000,0.144444444,-0.442546558
